1/12/09 17:28,Product1,1200,Amex,Alfredo A,Las Vegas                   ,NV,United States,12/3/08 14:12,2/19/09 8:09,36.175,-115.13639
1/29/09 8:27,Product2,3600,Visa,Kerry,Prague,Central Bohemia,Czech Republic,1/27/09 8:53,2/19/09 8:41,50.0833333,14.4666667
1/24/09 12:43,Product1,1200,Visa,Saeko ,Warwick                     ,NY,United States,2/2/08 16:37,2/19/09 10:28,41.25639,-74.36028
1/7/09 10:49,Product2,3600,Visa,VIOLETA,Silver Spring               ,MD,United States,9/1/08 13:09,2/19/09 10:43,38.99056,-77.02639
1/11/09 17:06,Product1,1200,Visa,Antje,Sacramento                  ,CA,United States,9/17/08 15:12,2/19/09 12:05,38.58167,-121.49333
1/30/09 6:17,Product1,1200,Visa,janet,Blarney,Cork,Ireland,1/30/09 3:02,2/19/09 12:48,51.9333333,-8.5666667
1/7/09 10:52,Product1,1200,Visa,claire ,Ballyneety,Limerick,Ireland,1/7/09 9:42,2/19/09 14:32,52.5961111,-8.5469444
1/27/09 6:20,Product1,1200,Mastercard,Nathalie,Haymarket                   ,VA,United States,6/1/06 12:04,2/19/09 16:52,38.81194,-77.63667
1/21/09 20:02,Product1,1200,Mastercard,Daria,George Town, ,Cayman Isls,1/10/09 16:09,2/19/09 19:19,19.3,-81.3833333
1/4/09 16:23,Product1,1200,Visa,Judith L.,Scottsdale                  ,AZ,United States,1/4/09 16:04,2/19/09 19:35,33.50917,-111.89833
1/6/09 12:26,Product1,1200,Visa,Audinet,Cambridge                   ,MA,United States,1/6/09 8:40,2/19/09 19:44,42.375,-71.10611
1/11/09 4:34,Product1,1200,Visa,William,Chalfont Saint Peter,England,United Kingdom,4/26/06 10:12,2/19/09 21:38,51.6,-0.55
1/17/09 6:39,Product1,1200,Diners,Tatjana and Martin,Birmingham,England,United Kingdom,1/12/08 7:00,2/19/09 23:30,52.4666667,-1.9166667
1/4/09 3:41,Product1,1200,Mastercard,Scott,Den Haag,Zuid-Holland,Netherlands,1/4/05 12:43,2/20/09 0:24,52.0833333,4.3
1/12/09 5:50,Product3,7500,Mastercard,Brona,Den Haag,Zuid-Holland,Netherlands,1/4/05 12:43,2/20/09 0:24,52.0833333,4.3
